content_key,level_code,headword,reading,ruby,romaji_ko,pos,conj_type,transitivity,meaning_ko,meaning_ko_alt,example_ja,example_ko,audio_file,source,verify,note
jlpt.n4.vocab.0011,N4,彼,かれ,{彼|かれ},카레,pron,-,-,그;그 사람,남자친구,{彼|かれ}は{大学|だいがく}の{友|とも}だちです。,그는 대학 친구예요.,jlpt.n4.vocab.0011.m4a,ref_only:jf_irodori_a2,draft,N5 私·あなた에서 3인칭으로 확장; Tanos교차: N4 일치
jlpt.n4.vocab.0012,N4,彼女,かのじょ,{彼女|かの|じょ},카노조,pron,-,-,그녀,여자친구,{彼女|かのじょ}は{英語|えいご}が{上手|じょうず}です。,그녀는 영어를 잘해요.,jlpt.n4.vocab.0012.m4a,ref_only:jf_irodori_a2,draft,彼와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0013,N4,自分,じぶん,{自分|じ|ぶん},지분,pron,-,-,자기 자신,스스로,{自分|じぶん}で{作|つく}りました。,직접 만들었어요.,jlpt.n4.vocab.0013.m4a,ref_only:jlpt_n4_sample,draft,선정축: 자기표현 필수어; Tanos N5 분류 → 우리 N5 400 미수록분 흡수; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0014,N4,みんな,みんな,みんな,민나,pron,-,-,모두,다 함께,みんなで{写真|しゃしん}を{撮|と}りましょう。,다 같이 사진 찍읍시다.,jlpt.n4.vocab.0014.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 집단 표현; 개인→집단 축 확장; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0015,N4,こちら,こちら,こちら,코치라,pron,-,-,이쪽,여기;이분,こちらへどうぞ。,이쪽으로 오세요.,jlpt.n4.vocab.0015.m4a,ref_only:jf_irodori_a2,draft,선정축: N5 これ·ここ의 정중 계열 확장; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0016,N4,そちら,そちら,そちら,소치라,pron,-,-,그쪽,거기;그것,そちらの{天気|てんき}はどうですか。,그쪽 날씨는 어때요?,jlpt.n4.vocab.0016.m4a,ref_only:jf_irodori_a2,draft,선정축: こちら 계열 4종 세트; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0017,N4,あちら,あちら,あちら,아치라,pron,-,-,저쪽,저기,あちらが{駅|えき}です。,저쪽이 역이에요.,jlpt.n4.vocab.0017.m4a,ref_only:jf_irodori_a2,draft,선정축: こちら 계열 4종 세트; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0018,N4,どちら,どちら,どちら,도치라,pron,-,-,어느 쪽,어디;어느 것,どちらが{安|やす}いですか。,어느 쪽이 싸요?,jlpt.n4.vocab.0018.m4a,ref_only:jlpt_n4_sample,draft,선정축: こちら 계열 4종 세트; N4 비교 문형과 직결; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0019,N4,どなた,どなた,どなた,도나타,pron,-,-,어느 분,누구(정중),これはどなたのかばんですか。,이건 누구 가방이에요?,jlpt.n4.vocab.0019.m4a,ref_only:jf_irodori_a2,draft,선정축: N5 だれ의 정중형; Tanos교차: N5 분류 — 우리 N5 400 미수록 잔여분을 N4로 흡수
jlpt.n4.vocab.0020,N4,度,ど,{度|ど},도,counter,-,-,~번;~도,횟수와 온도에 함께 씀,{一|いち}{度|ど}{行|い}ったことがあります。,한 번 간 적이 있어요.,jlpt.n4.vocab.0020.m4a,closed_set,draft,조수사 닫힌 집합; N4 「〜たことがある」와 함께 씀; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0021,N4,番目,ばんめ,{番目|ばん|め},밤메,counter,-,-,~번째,순서,{左|ひだり}から{三|さん}{番目|ばんめ}です。,왼쪽에서 세 번째예요.,jlpt.n4.vocab.0021.m4a,closed_set,draft,조수사 닫힌 집합; N5 番의 파생; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0022,N4,名,めい,{名|めい},메에,counter,-,-,~명,사람 수(정중),{予約|よやく}は{四|よ}{名|めい}です。,예약은 네 명이에요.,jlpt.n4.vocab.0022.m4a,closed_set,draft,조수사 닫힌 집합; N5 人(にん)의 정중형; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0023,N4,軒,けん,{軒|けん},켄,counter,-,-,~채;~집,건물을 셀 때,この{通|とお}りに{店|みせ}が{三|さん}{軒|げん}あります。,이 거리에 가게가 세 채 있어요.,jlpt.n4.vocab.0023.m4a,closed_set,draft,조수사 닫힌 집합; 연탁(さんげん) 주의; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0024,N4,倍,ばい,{倍|ばい},바이,counter,-,-,~배,배수,{去年|きょねん}の{二|に}{倍|ばい}になりました。,작년의 두 배가 되었어요.,jlpt.n4.vocab.0024.m4a,ref_only:jf_marugoto_a2,draft,수량 비교 문형과 직결; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0025,N4,屋,や,{屋|や},야,suffix,-,-,~가게;~집,상점·직업,{本|ほん}{屋|や}で{雑誌|ざっし}を{買|か}いました。,서점에서 잡지를 샀어요.,jlpt.n4.vocab.0025.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 가게 주제; 파생 생산성 높은 접미; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0026,N4,方,かた,{方|かた},카타,suffix,-,-,~하는 법,방법,{漢字|かんじ}の{読|よ}み{方|かた}を{教|おし}えてください。,한자 읽는 법을 알려주세요.,jlpt.n4.vocab.0026.m4a,ref_only:jlpt_n4_sample,draft,선정축: N4 「ます형+方」 문형 필수 접미; Tanos교차: 대조제외(조수사·접사는 목록 대상 아님)
jlpt.n4.vocab.0027,N4,最近,さいきん,{最近|さい|きん},사이킨,noun,-,-,최근,요즘,{最近|さいきん}{忙|いそが}しいです。,요즘 바빠요.,jlpt.n4.vocab.0027.m4a,ref_only:jf_irodori_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0028,N4,将来,しょうらい,{将来|しょう|らい},쇼오라이,noun,-,-,장래,미래,{将来|しょうらい}は{先生|せんせい}になりたいです。,장래에 선생님이 되고 싶어요.,jlpt.n4.vocab.0028.m4a,ref_only:jf_marugoto_a2,draft,「〜たい」와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0029,N4,昔,むかし,{昔|むかし},무카시,noun,-,-,옛날,예전,{昔|むかし}ここに{川|かわ}がありました。,옛날에 여기에 강이 있었어요.,jlpt.n4.vocab.0029.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 과거 회상 주제; 전래동화 코스와 연결; Tanos교차: N4 일치
jlpt.n4.vocab.0030,N4,最初,さいしょ,{最初|さい|しょ},사이쇼,noun,-,-,처음,최초,{最初|さいしょ}は{難|むずか}しかったです。,처음에는 어려웠어요.,jlpt.n4.vocab.0030.m4a,ref_only:jf_marugoto_a2,draft,最後와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0031,N4,最後,さいご,{最後|さい|ご},사이고,noun,-,-,마지막,최후,{最後|さいご}まで{頑張|がんば}ります。,마지막까지 힘낼게요.,jlpt.n4.vocab.0031.m4a,ref_only:jf_marugoto_a2,draft,最初와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0032,N4,途中,とちゅう,{途中|と|ちゅう},토추우,noun,-,-,도중,가는 길에,{学校|がっこう}へ{行|い}く{途中|とちゅう}で{会|あ}いました。,학교 가는 길에 만났어요.,jlpt.n4.vocab.0032.m4a,ref_only:jf_marugoto_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0033,N4,都合,つごう,{都合|つ|ごう},츠고오,noun,-,-,사정;형편,스케줄,{都合|つごう}が{悪|わる}い{日|ひ}を{教|おし}えてください。,안 되는 날을 알려주세요.,jlpt.n4.vocab.0033.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 약속 조정 주제; N5 暇의 상위 표현; Tanos교차: N4 일치
jlpt.n4.vocab.0034,N4,今度,こんど,{今度|こん|ど},콘도,noun,-,-,이번;다음번,조만간,{今度|こんど}{一緒|いっしょ}に{行|い}きませんか。,다음에 같이 안 갈래요?,jlpt.n4.vocab.0034.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 권유 표현; 「〜ませんか」와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0035,N4,以上,いじょう,{以上|い|じょう},이조오,noun,-,-,이상,~보다 많이,{一|いち}{時間|じかん}{以上|いじょう}{待|ま}ちました。,한 시간 이상 기다렸어요.,jlpt.n4.vocab.0035.m4a,ref_only:jf_marugoto_a2,draft,以下·以外와 3종 세트; Tanos교차: N4 일치
jlpt.n4.vocab.0036,N4,以下,いか,{以下|い|か},이카,noun,-,-,이하,~보다 적게,{十|じゅっ}{歳|さい}{以下|いか}は{無料|むりょう}です。,열 살 이하는 무료예요.,jlpt.n4.vocab.0036.m4a,ref_only:jf_marugoto_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0037,N4,以外,いがい,{以外|い|がい},이가이,noun,-,-,이외,~말고는,{日曜日|にちようび}{以外|いがい}は{働|はたら}いています。,일요일 말고는 일하고 있어요.,jlpt.n4.vocab.0037.m4a,ref_only:jf_marugoto_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0038,N4,場合,ばあい,{場|ば}{合|あい},바아이,noun,-,-,경우,상황,{雨|あめ}の{場合|ばあい}は{中止|ちゅうし}です。,비가 올 경우에는 중지예요.,jlpt.n4.vocab.0038.m4a,ref_only:jlpt_n4_sample,draft,루비 2조각 장음 비월경 검증항; Tanos교차: N4 일치
jlpt.n4.vocab.0039,N4,昼間,ひるま,{昼間|ひる|ま},히루마,noun,-,-,낮 동안,대낮,{昼間|ひるま}はいつも{留守|るす}です。,낮에는 늘 집에 없어요.,jlpt.n4.vocab.0039.m4a,ref_only:jf_irodori_a2,draft,N5 昼의 파생; Tanos교차: N4 일치
jlpt.n4.vocab.0040,N4,久しぶり,ひさしぶり,{久|ひさ}しぶり,히사시부리,noun,-,-,오랜만,오래간만,{久|ひさ}しぶりに{会|あ}いました。,오랜만에 만났어요.,jlpt.n4.vocab.0040.m4a,ref_only:jf_irodori_a2,draft,인사 표현으로도 씀; Tanos교차: N4 일치
jlpt.n4.vocab.0041,N4,夫,おっと,{夫|おっと},옷토,noun,-,-,남편,-,{夫|おっと}は{今|いま}{出|で}かけています。,남편은 지금 외출 중이에요.,jlpt.n4.vocab.0041.m4a,ref_only:jf_irodori_a2,draft,妻와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0042,N4,妻,つま,{妻|つま},츠마,noun,-,-,아내,-,{妻|つま}と{買|か}い{物|もの}に{行|い}きました。,아내와 장 보러 갔어요.,jlpt.n4.vocab.0042.m4a,ref_only:jf_irodori_a2,draft,夫와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0043,N4,息子,むすこ,{息子|むす|こ},무스코,noun,-,-,아들,-,{息子|むすこ}は{中学生|ちゅうがくせい}です。,아들은 중학생이에요.,jlpt.n4.vocab.0043.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 가족 주제; 娘와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0044,N4,娘,むすめ,{娘|むすめ},무스메,noun,-,-,딸,-,{娘|むすめ}はピアノを{習|なら}っています。,딸은 피아노를 배우고 있어요.,jlpt.n4.vocab.0044.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 가족 주제; 息子와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0045,N4,祖父,そふ,{祖父|そ|ふ},소후,noun,-,-,할아버지,조부,{祖父|そふ}は{今年|ことし}{九十|きゅうじゅっ}{歳|さい}です。,할아버지는 올해 아흔이에요.,jlpt.n4.vocab.0045.m4a,ref_only:jf_marugoto_a2,draft,おじいさん의 겸양 아닌 객관 호칭; Tanos교차: N4 일치
jlpt.n4.vocab.0046,N4,祖母,そぼ,{祖母|そ|ぼ},소보,noun,-,-,할머니,조모,{祖母|そぼ}は{料理|りょうり}が{上手|じょうず}です。,할머니는 요리를 잘하세요.,jlpt.n4.vocab.0046.m4a,ref_only:jf_marugoto_a2,draft,祖父와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0047,N4,親,おや,{親|おや},오야,noun,-,-,부모,어버이,{親|おや}に{電話|でんわ}をしました。,부모님께 전화했어요.,jlpt.n4.vocab.0047.m4a,ref_only:jf_marugoto_a2,draft,N5 父·母의 상위 개념어; Tanos교차: N4 일치
jlpt.n4.vocab.0048,N4,客,きゃく,{客|きゃく},캬쿠,noun,-,-,손님,고객,{今日|きょう}は{客|きゃく}が{多|おお}いです。,오늘은 손님이 많아요.,jlpt.n4.vocab.0048.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 가게·직장 주제; Tanos교차: N4 일치
jlpt.n4.vocab.0049,N4,社長,しゃちょう,{社長|しゃ|ちょう},샤초오,noun,-,-,사장,사장님,{社長|しゃちょう}は{会議|かいぎ}{中|ちゅう}です。,사장님은 회의 중이에요.,jlpt.n4.vocab.0049.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 직장 주제; 비즈니스 코스와 연결; Tanos교차: N4 일치
jlpt.n4.vocab.0050,N4,部長,ぶちょう,{部長|ぶ|ちょう},부초오,noun,-,-,부장,부서장,{部長|ぶちょう}に{相談|そうだん}します。,부장님께 상의할게요.,jlpt.n4.vocab.0050.m4a,ref_only:jf_irodori_a2,draft,社長과 직급 세트; Tanos교차: N4 일치
jlpt.n4.vocab.0051,N4,男性,だんせい,{男性|だん|せい},단세에,noun,-,-,남성,남자,あそこに{男性|だんせい}が{立|た}っています。,저기에 남성이 서 있어요.,jlpt.n4.vocab.0051.m4a,ref_only:jf_marugoto_a2,draft,N5 男의 격식형; Tanos교차: N4 일치
jlpt.n4.vocab.0052,N4,女性,じょせい,{女性|じょ|せい},조세에,noun,-,-,여성,여자,この{店|みせ}は{女性|じょせい}に{人気|にんき}があります。,이 가게는 여성에게 인기가 있어요.,jlpt.n4.vocab.0052.m4a,ref_only:jf_marugoto_a2,draft,男性과 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0053,N4,赤ちゃん,あかちゃん,{赤|あか}ちゃん,아카찬,noun,-,-,아기,갓난아기,{赤|あか}ちゃんが{寝|ね}ていますから{静|しず}かにしてください。,아기가 자고 있으니까 조용히 해주세요.,jlpt.n4.vocab.0053.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 가족 주제; Tanos는 赤ん坊 표기 — 현대 구어 赤ちゃん 채택; Tanos교차: N1 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0054,N4,店員,てんいん,{店員|てん|いん},텐엔,noun,-,-,점원,직원,{店員|てんいん}に{値段|ねだん}を{聞|き}きました。,점원에게 가격을 물었어요.,jlpt.n4.vocab.0054.m4a,ref_only:jf_irodori_a2,draft,N5 店의 파생; Tanos교차: N4 일치
jlpt.n4.vocab.0055,N4,会議,かいぎ,{会議|かい|ぎ},카이기,noun,suru_noun,vi,회의,미팅,{午後|ごご}から{会議|かいぎ}があります。,오후부터 회의가 있어요.,jlpt.n4.vocab.0055.m4a,ref_only:jf_irodori_a2,draft,A2 직장 주제; Tanos교차: N4 일치
jlpt.n4.vocab.0056,N4,予約,よやく,{予約|よ|やく},요야쿠,noun,suru_noun,vt,예약,-,レストランを{予約|よやく}しました。,레스토랑을 예약했어요.,jlpt.n4.vocab.0056.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 예약 주제; 여행 코스와 공유; Tanos교차: N4 일치
jlpt.n4.vocab.0057,N4,説明,せつめい,{説明|せつ|めい},세츠메에,noun,suru_noun,vt,설명,-,{使|つか}い{方|かた}を{説明|せつめい}します。,사용법을 설명할게요.,jlpt.n4.vocab.0057.m4a,ref_only:jf_irodori_a2,draft,접미 方와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0058,N4,相談,そうだん,{相談|そう|だん},소오단,noun,suru_noun,vi,상담;상의,의논,{先生|せんせい}に{相談|そうだん}してみます。,선생님께 상의해 볼게요.,jlpt.n4.vocab.0058.m4a,ref_only:jf_irodori_a2,draft,「〜てみる」와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0059,N4,連絡,れんらく,{連絡|れん|らく},렌라쿠,noun,suru_noun,vi,연락,-,あとで{連絡|れんらく}します。,나중에 연락할게요.,jlpt.n4.vocab.0059.m4a,ref_only:jf_irodori_a2,draft,선정축: A2 연락 주제; 청해 대화 빈출; Tanos교차: N4 일치
jlpt.n4.vocab.0060,N4,準備,じゅんび,{準備|じゅん|び},줌비,noun,suru_noun,vt,준비,채비,パーティーの{準備|じゅんび}をしています。,파티 준비를 하고 있어요.,jlpt.n4.vocab.0060.m4a,ref_only:jf_irodori_a2,draft,발음 ん 경계 월경 검증항(줌비); Tanos교차: N4 일치
jlpt.n4.vocab.0061,N4,用意,ようい,{用意|よう|い},요오이,noun,suru_noun,vt,준비;채비,마련,{飲|の}み{物|もの}を{用意|ようい}しておきます。,마실 것을 준비해 둘게요.,jlpt.n4.vocab.0061.m4a,ref_only:jf_irodori_a2,draft,Tanos N4 미수록 → 準備와의 대비 학습을 위해 채택; 「〜ておく」와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0062,N4,注意,ちゅうい,{注意|ちゅう|い},추우이,noun,suru_noun,vi,주의,조심,{車|くるま}に{注意|ちゅうい}してください。,차를 조심하세요.,jlpt.n4.vocab.0062.m4a,ref_only:jf_irodori_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0063,N4,案内,あんない,{案内|あん|ない},안나이,noun,suru_noun,vt,안내,-,{道|みち}を{案内|あんない}しましょうか。,길을 안내해 드릴까요?,jlpt.n4.vocab.0063.m4a,ref_only:jf_irodori_a2,draft,발음 ん 받침 ㄴ 검증항; Tanos교차: N4 일치
jlpt.n4.vocab.0064,N4,紹介,しょうかい,{紹介|しょう|かい},쇼오카이,noun,suru_noun,vt,소개,-,{友|とも}だちを{紹介|しょうかい}します。,친구를 소개할게요.,jlpt.n4.vocab.0064.m4a,ref_only:jf_irodori_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0065,N4,経験,けいけん,{経験|けい|けん},케에켄,noun,suru_noun,vt,경험,-,その{仕事|しごと}の{経験|けいけん}があります。,그 일의 경험이 있어요.,jlpt.n4.vocab.0065.m4a,ref_only:jf_marugoto_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0066,N4,研究,けんきゅう,{研究|けん|きゅう},켕큐우,noun,suru_noun,vt,연구,-,{大学|だいがく}で{日本語|にほんご}を{研究|けんきゅう}しています。,대학에서 일본어를 연구하고 있어요.,jlpt.n4.vocab.0066.m4a,ref_only:jf_marugoto_a2,draft,발음 ん+か행 ㅇ받침 검증항; Tanos교차: N4 일치
jlpt.n4.vocab.0067,N4,発音,はつおん,{発音|はつ|おん},하츠온,noun,suru_noun,vt,발음,-,{発音|はつおん}が{難|むずか}しいです。,발음이 어려워요.,jlpt.n4.vocab.0067.m4a,ref_only:jlpt_n4_sample,draft,규격 3.2.7 한글 발음 한계와 직결; Tanos교차: N4 일치
jlpt.n4.vocab.0068,N4,試験,しけん,{試験|し|けん},시켄,noun,suru_noun,vt,시험,-,{来週|らいしゅう}{試験|しけん}があります。,다음 주에 시험이 있어요.,jlpt.n4.vocab.0068.m4a,ref_only:jlpt_n4_sample,draft,N5 テスト의 상위어; Tanos교차: N4 일치
jlpt.n4.vocab.0069,N4,卒業,そつぎょう,{卒業|そつ|ぎょう},소츠교오,noun,suru_noun,vi,졸업,-,{去年|きょねん}{大学|だいがく}を{卒業|そつぎょう}しました。,작년에 대학을 졸업했어요.,jlpt.n4.vocab.0069.m4a,ref_only:jf_irodori_a2,draft,入学와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0070,N4,入学,にゅうがく,{入学|にゅう|がく},뉴우가쿠,noun,suru_noun,vi,입학,-,{妹|いもうと}が{高校|こうこう}に{入学|にゅうがく}しました。,여동생이 고등학교에 입학했어요.,jlpt.n4.vocab.0070.m4a,ref_only:jf_irodori_a2,draft,卒業와 쌍; Tanos교차: N4 일치
jlpt.n4.vocab.0071,N4,留学,りゅうがく,{留学|りゅう|がく},류우가쿠,noun,suru_noun,vi,유학,-,{日本|にほん}へ{留学|りゅうがく}したいです。,일본으로 유학 가고 싶어요.,jlpt.n4.vocab.0071.m4a,ref_only:jf_marugoto_a2,draft,선정축: A2 진로 주제; Tanos는 留学生 수록 — 동사화 가능한 留学 채택; Tanos교차: N3 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0072,N4,給料,きゅうりょう,{給料|きゅう|りょう},큐우료오,noun,-,-,급여;월급,봉급,{給料|きゅうりょう}は{毎月|まいつき}{二十五|にじゅうご}{日|にち}です。,급여는 매달 25일이에요.,jlpt.n4.vocab.0072.m4a,ref_only:jf_irodori_a2,draft,A2 직장 주제; Tanos교차: N3 분류(구시험 기준) — 교재축 판단을 우선해 N4 유지
jlpt.n4.vocab.0073,N4,出席,しゅっせき,{出席|しゅっ|せき},슛세키,noun,suru_noun,vi,출석;참석,-,{会議|かいぎ}に{出席|しゅっせき}します。,회의에 참석할게요.,jlpt.n4.vocab.0073.m4a,ref_only:jf_irodori_a2,draft,촉음 루비 경계 월경 검증항(슛세키); Tanos교차: N4 일치
jlpt.n4.vocab.0074,N4,出発,しゅっぱつ,{出発|しゅっ|ぱつ},슙파츠,noun,suru_noun,vi,출발,-,{朝|あさ}{八|はち}{時|じ}に{出発|しゅっぱつ}します。,아침 8시에 출발해요.,jlpt.n4.vocab.0074.m4a,ref_only:jf_irodori_a2,draft,촉음 ㅂ받침 검증항(슛파츠); Tanos교차: N4 일치
jlpt.n4.vocab.0075,N4,失敗,しっぱい,{失敗|しっ|ぱい},십파이,noun,suru_noun,vi,실패,실수,{失敗|しっぱい}してもいいです。,실패해도 괜찮아요.,jlpt.n4.vocab.0075.m4a,ref_only:jf_irodori_a2,draft,「〜てもいい」와 함께; Tanos교차: N4 일치
jlpt.n4.vocab.0076,N4,会話,かいわ,{会話|かい|わ},카이와,noun,suru_noun,vi,회화;대화,-,{日本語|にほんご}の{会話|かいわ}を{練習|れんしゅう}しています。,일본어 회화를 연습하고 있어요.,jlpt.n4.vocab.0076.m4a,ref_only:jf_irodori_a2,draft,선정축: N4 표준 어휘 — 급수 배정 근거는 아래 교차검증; Tanos교차: N4 일치
jlpt.n4.vocab.0077,N4,日記,にっき,{日記|にっ|き},닉키,noun,-,-,일기,-,{毎日|まいにち}{日記|にっき}を{書|か}いています。,매일 일기를 쓰고 있어요.,jlpt.n4.vocab.0077.m4a,ref_only:jf_irodori_a2,draft,촉음 ㄱ받침 검증항(닉키); Tanos교차: N4 일치
